state,zcta5,ZIPName,County,County2
33,03817,"Chocorua, NH",Carroll NH,
33,03818,"Conway, NH",Carroll NH,
33,03819,"Danville, NH",Rockingham NH,
33,03820,"Dover, NH",Strafford NH,
33,03823,"Madbury, NH",Strafford NH,
33,03824,"Durham, NH",Strafford NH,
33,03825,"Barrington, NH",Strafford NH,
33,03826,"East Hampstead, NH",Rockingham NH,
33,03827,"East Kingston, NH",Rockingham NH,
33,03830,"East Wakefield, NH",Carroll NH,
33,03832,"Eaton Center, NH",Carroll NH,
33,03833,"Exeter, NH",Rockingham NH,
33,03835,"Farmington, NH",Strafford NH,
33,03836,"Freedom, NH",Carroll NH,
33,03837,"Gilmanton Iron Works, NH",Belknap NH,
33,03838,"Glen, NH",Carroll NH,
33,03839,"Rochester, NH",Strafford NH,
33,03840,"Greenland, NH",Rockingham NH,
33,03841,"Hampstead, NH",Rockingham NH,
33,03842,"Hampton, NH",Rockingham NH,
33,03844,"Hampton Falls, NH",Rockingham NH,
33,03845,"Intervale, NH",Carroll NH,
33,03846,"Jackson, NH",Carroll NH,
33,03847,"North Conway, NH",Carroll NH,
33,03848,"Kingston, NH",Rockingham NH,
33,03849,"Madison, NH",Carroll NH,
33,03850,"Melvin Village, NH",Carroll NH,
33,03851,"Milton, NH (PO Boxes)",Strafford NH,
33,03852,"Milton Mills, NH",Strafford NH,
33,03853,"Mirror Lake, NH",Carroll NH,
33,03854,"New Castle, NH (PO Boxes)",Rockingham NH,
33,03855,"New Durham, NH",Strafford NH,
33,03856,"Newfields, NH",Rockingham NH,
33,03857,"Newmarket, NH",Rockingham NH,
33,03858,"Newton, NH",Rockingham NH,
33,03860,"North Conway, NH",Carroll NH,
33,03861,"Lee, NH",Strafford NH,
33,03862,"North Hampton, NH",Rockingham NH,
33,03864,"Ossipee, NH",Carroll NH,
33,03865,"Plaistow, NH",Rockingham NH,
33,03867,"Rochester, NH",Strafford NH,
33,03868,"Rochester, NH",Strafford NH,
33,03869,"Rollinsford, NH",Strafford NH,
33,03870,"Rye, NH",Rockingham NH,
33,03871,"Rye Beach, NH (PO Boxes)",Rockingham NH,
33,03872,"Sanbornville, NH",Carroll NH,
33,03873,"Sandown, NH",Rockingham NH,
33,03874,"Seabrook, NH",Rockingham NH,
33,03875,"Silver Lake, NH",Carroll NH,
33,03878,"Somersworth, NH",Strafford NH,
33,03882,"Effingham, NH",Carroll NH,
33,03883,"South Tamworth, NH",Carroll NH,
